urn,name,cts_namespace,cts_id_prefix,cts_id,viaf_id,lccn,wikidata_id,wikipedia_url_en,wikipedia_url_es,wikipedia_url_de,wikipedia_url_it,wikipedia_url_fr
urn:cts:latinLit:phi1351,"HucitAuthor (names=[Publio O Gaio Cornelio Tacito (@it),Tacite (@fr),Cornelius Tacitus Historicus (@la),Publio Cornelio Tácito (@es),Gayo Cornelio Tacito (@es),Tacitus (@None),Cornelius Tacitus (@la),Publius Cornelius Tacitus (@la),Caius Cornelius Tacitus (@la),Gaius Cornelius Tacitus (@la)],urn=urn:cts:latinLit:phi1351)",latinLit,phi,1351,100226923,None,Q2161,https://en.wikipedia.org/wiki/Tacitus,https://es.wikipedia.org/wiki/Tácito,https://de.wikipedia.org/wiki/Tacitus,https://it.wikipedia.org/wiki/Publio_Cornelio_Tacito,https://fr.wikipedia.org/wiki/Tacite
urn:cts:greekLit:tlg0655,"HucitAuthor (names=[Parthenius (@la),Parthénius (@fr),Parthenius Mythographus (@la),Partenio (@it),Parthenios (@None)],urn=urn:cts:greekLit:tlg0655)",greekLit,tlg,0655,289787117,None,Q729109,https://en.wikipedia.org/wiki/Parthenius_of_Nicaea,https://es.wikipedia.org/wiki/Partenio_de_Nicea,https://de.wikipedia.org/wiki/Parthenios_von_Nicaea,https://it.wikipedia.org/wiki/Partenio_di_Nicea,https://fr.wikipedia.org/wiki/Parthénios_de_Nicée
urn:cts:greekLit:tlg2018,"HucitAuthor (names=[Eusebius (@None),Eusèbe De Césarée (@fr),Eusebios (@None),Eusebio Di Cesarea (@it),Eusebio (@None),Eusebius Of Caesarea (@en),Eus (@None),Eusebius Von Caesarea (@de),Eusebius Caesariensis (@la)],urn=urn:cts:greekLit:tlg2018)",greekLit,tlg,2018,4929593,None,Q142999,https://en.wikipedia.org/wiki/Eusebius,https://es.wikipedia.org/wiki/Eusebio_de_Cesarea,https://de.wikipedia.org/wiki/Eusebius_von_Caesarea,https://it.wikipedia.org/wiki/Eusebio_di_Cesarea,https://fr.wikipedia.org/wiki/Eusèbe_de_Césarée
urn:cts:greekLit:tlg0548,"HucitAuthor (names=[Apollodoros (@None),Pseudo-Apollodorus (@la),Apollodorus Grammaticus (@la),Apollodoros Der Grammatiker (@de),Pseudo-Apollodore (@fr),Apollodor (@de),Apollodorus (@la),Apollodore (@None),Apollodore Le Mythographe (@fr),Apollodorus Mythographus (@la)],urn=urn:cts:greekLit:tlg0548)",greekLit,tlg,0548,100219535,None,Q205704,https://en.wikipedia.org/wiki/Apollodorus_of_Athens,https://es.wikipedia.org/wiki/Apolodoro_de_Atenas,https://de.wikipedia.org/wiki/Apollodor_von_Athen_(Schriftsteller),https://it.wikipedia.org/wiki/Apollodoro_di_Atene,https://fr.wikipedia.org/wiki/Apollodore_d'Athènes
urn:cts:greekLit:tlg7000,"HucitAuthor (names=[Anthologia Graeca (@la)],urn=urn:cts:greekLit:tlg7000)",greekLit,tlg,7000,None,None,None,None,None,None,None,None
urn:cts:latinLit:phi0119,"HucitAuthor (names=[Pseudo-Plautus (@la),Titus Maccus Plautus (@la),Titus Maccius Plautus (@la),T. Maccius Plautus (@la),Plautus Comicus Latinus (@la),Plautus (@None),Plautus Komödiendichter (@de),Plaute (@fr),Tito Maccio Plauto (@None)],urn=urn:cts:latinLit:phi0119)",latinLit,phi,0119,66462281,None,Q47160,https://en.wikipedia.org/wiki/Plautus,https://es.wikipedia.org/wiki/Plauto,https://de.wikipedia.org/wiki/Plautus,https://it.wikipedia.org/wiki/Tito_Maccio_Plauto,https://fr.wikipedia.org/wiki/Plaute
urn:cts:greekLit:tlg0074,"HucitAuthor (names=[Arrianus Von Nikomedien (@de),Flave Arrien (@fr),Arriano Flavio (@it),Arrianus (@None),Arrian (@en),Arrianos (@None),Arriano (@None),Flavius Arrianus (@la),Arrian Flavius (@en),Arrien (@fr),Arrianus Bithynius (@la),Arrianus Nicomedensis (@la)],urn=urn:cts:greekLit:tlg0074)",greekLit,tlg,0074,100192636,None,Q31845,https://en.wikipedia.org/wiki/Arrian,https://es.wikipedia.org/wiki/Flavio_Arriano,https://de.wikipedia.org/wiki/Arrian,https://it.wikipedia.org/wiki/Arriano,https://fr.wikipedia.org/wiki/Arrien
urn:cts:latinLit:phi0134,"HucitAuthor (names=[Terence (@en),P. Terentius Afer (@la),Publio Terencio Afro (@es),Publio Terenzio Afro (@it),Térence (@fr),Publio Terencio Africano (@es),Publius Terentius Afer Comicus (@la),Terenz (@de),Publius Terentius Afer (@la),Terentius (@None)],urn=urn:cts:latinLit:phi0134)",latinLit,phi,0134,213181445,None,Q172048,https://en.wikipedia.org/wiki/Terence,https://es.wikipedia.org/wiki/Terencio,https://de.wikipedia.org/wiki/Terenz,https://it.wikipedia.org/wiki/Publio_Terenzio_Afro,https://fr.wikipedia.org/wiki/Térence
urn:cts:greekLit:tlg0057,"HucitAuthor (names=[Galenus Medicus (@la),Galenus (@la),Galien (@fr),Galenos (@None),Galeno (@it),Galen (@None),Claudius Galenus (@la)],urn=urn:cts:greekLit:tlg0057)",greekLit,tlg,0057,44299175,None,None,None,None,None,None,None
urn:cts:greekLit:tlg0014,"HucitAuthor (names=[Demosthenes Atheniensis (@la),Demosthenes (@la),Démosthène (@fr),Demostene (@it),Demóstenes (@es)],urn=urn:cts:greekLit:tlg0014)",greekLit,tlg,0014,268302412,None,Q117253,https://en.wikipedia.org/wiki/Demosthenes,https://es.wikipedia.org/wiki/Demóstenes,https://de.wikipedia.org/wiki/Demosthenes,https://it.wikipedia.org/wiki/Demostene,https://fr.wikipedia.org/wiki/Démosthène
