URL (For Author or Uniform title) or URI,LC # / VIAF URI,LC NAME/TITLE or VIAF AUTHOR NAME,OLD AUTHOR NAME,LS AUTHOR NAME,PHI AUTHOR NAME,OLD AUTHOR NAME ABBREVIATION,LS AUTHOR NAME ABBREVIATION,A&G AUTHOR NAME ABBREVIATION,WORK TITLE,OLD ABBREVIATED TITLE,LS ABBREVIATED TITLE,A&G ABBREVIATED TITLE,OLD STANDARD EDITION,WE OWN?,TLL Standard Edition,WE OWN?,LS STANDARD EDITION,WE OWN?,PHI#,STOA#,PERSEUS HAS THIS WORK,Other identifier,NOTE,URL
http://id.loc.gov/authorities/names/nr95039368,nr95-039368,"Domitius Ahenobarbus, Cn., active 104 B.C.-89 B.C.",none,none,Gnaeus Domitius Ahenobarbus,none,none,none,Oratio,none,n.a.,none,none,n.a.,none,n.a.,none,n.a,301.1,none,no,,This is one of several orations from a non public domain edition (Malcovati-also used by OLD),
http://viaf.org/viaf/29676447,29676447,"Alanus de Insulis, 1120-1202",none,none,none,none,none,none,De planctu naturae,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0015-stoa001,yes,,Part of Midaeval Latin,
http://viaf.org/viaf/103253500,103253500,"Alberic, of Settefrati, 1101-1154? (Alberic of Monte Cassino)",none,none,none,none,none,none,De dictamine,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0016-stoa001,no,,Added to list due to existence on STOA List,
http://viaf.org/viaf/23509947,23509947,Albert of Saxony (Albertus de Saxonia 1316-1390),none,none,none,none,none,none,Ars Dictandi,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0017-stoa001,no,,Added to list due to existence on STOA List,
http://catalog.perseus.org/catalog/urn:cite:perseus:author.48,none,none,none,none,Albinus,none,none,none,Rerum Romanarum Liber I,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,2002.1,none,no,,NO authority records anywhere for this author other than Perseus catalog it seems,
http://catalog.perseus.org/catalog/urn:cite:perseus:author.48,none,none,none,none,Albinus,none,none,none,De Metris,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,2002.2,none,no,,NO authority records anywhere for this author other than Perseus catalog it seems,
http://viaf.org/viaf/69742024,69742024,"Albertano, da Brescia, active 13th century",none,none,none,none,none,none,Ars loquendi et tacend,none,na.,none,none,na.,none,n.a.,none,n.a.,none,stoa0018-stoa001,no,,Added to list due to existence on STOA List. Also has four other works on list.,
http://viaf.org/viaf/29559625,29559625,"Alberti, Leon Battista, 1404-1472",none,none,none,none,none,none,De Pictura,none,na.,none,none,na.,none,n.a.,none,n.a.,none,stoa0019-stoa001,no,,,
http://viaf.org/viaf/59475555/,59475555,"Alcimus Alethius, Latinus um 355 n. Chr",none,none,none,none,none,none,Carmina ,none,na.,none,none,na.,none,n.a.,none,n.a.,none,stoa0019a-stoa001,yes,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Cella Alcuini,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa001,no,,"Full name: Alcuinus, Albinus Flaccus‏ ",
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Conflictus veris et hiemi,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa002,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,De luscinia,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa003,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Disputatio de Rhetorica,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa004,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Epitaphium,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa005,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Propositiones,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa006,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Sequentia De Sancto Michaele,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa007,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Versus de cuculo,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa008,no,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,De Orthographia,none,n.a.,none,none,n.a.,GL,n.a.,none,n.a.,none,stoa0020-stoa009,yes,,,
http://viaf.org/viaf/96533523/,96533523,"Alcuin, 735-804",none,none,none,none,none,none,Quaestiones De Trinitate Et De Genesi,none,n.a.,none,none,n.a.,Migne 42,n.a.,none,n.a.,none,stoa0020-stoa010,no,,,
http://errol.oclc.org/laf/n84-154670.html,n84-154670,"Aldhelm, Saint, 640?-709",none,Aldhelmus,none,none,Aldh. \ Aldhelm.,none,De Laudibus Virginitatis,none,Aldh. Laud. Virg. / Aldh. Laud. Virgin/ Aldh. Virg. / Aldhelm. Laud. Virg. / Aldhelm. Carm. Virg.,none,none,n.a.,,,Migne (Patrologia Latina),no-need to obtain,none,stoa0020a-stoa001,no,,,
http://errol.oclc.org/laf/n84-154670.html,n84-154670,"Aldhelm, Saint, 640?-709",none,Aldhelmus,none,none,Aldh. \ Aldhelm.,none,"Epistulae ad Acircium, de metris, etc.",none,Aldh. Ep.,none,none,n.a.,,,Migne (Patrologia Latina),no-need to obtain,none,stoa0020a-stoa002,no,,"col. 167, t. 83 Migne.--it is volume 89",http://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus:text:1999.04.0059:entry=re^fo^cilla_trix&highlight=
http://errol.oclc.org/laf/n84-154670.html,n84-154670,"Aldhelm, Saint, 640?-709",none,Aldhelmus,none,none,Aldh. \ Aldhelm.,none,Liber de Septenario et de Metris,none,Aldh. Septen. Col.,none,none,n.a.,,,Migne (Patrologia Latina),no-need to obtain,none,stoa0020a-stoa003,no,,"Aldh. Septen. Col. 167 M. (M. for Migne, I would assume)",http://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus:text:1999.04.0059:entry=fo^rasti^cus&highlight=
http://errol.oclc.org/laf/nr95-37490.html,nr95-37490,"Alfenus Varus, P. (Publius), fl. 39 B. C.",P. Alfenus Varus ,P. Alfenus Varus ,P. Alfenus Varus ,ALF.,Alfen.,none,Digesta?,ALF. dig. 50. 16. 203 ,none,none,"Mommsen-Krueger Berlin 1922 (Corpus iuris civilis, Vol I (Digesta Iustiniani in OLD))",no-need to obtain (have older version),,,Dig. (Momms.),no-need to obtain,406.2 (2806. 2 for digesta),stoa0168-stoa001b,yes,,,
http://errol.oclc.org/laf/nr95-37490.html,nr95-37490,"Alfenus Varus, P. (Publius), fl. 39 B. C.",P. Alfenus Varus ,P. Alfenus Varus ,P. Alfenus Varus ,ALF.,Alfen.,none,Iurisprudentia,ALF. iur. 1,none,none,Seckel-Kuebler T 1908  (Iurisprudentia Anteiustiniana),no-need to obtain,,,Hushcke,no-need to obtain,406.2,none,no,,,
http://errol.oclc.org/laf/nr95-37490.html,nr95-37490,"Alfenus Varus, P. (Publius), fl. 39 B. C.",P. Alfenus Varus ,P. Alfenus Varus ,P. Alfenus Varus ,ALF.,Alfen.,none,Grammatica,ALF. gram. 4 ,none,none,Funaioli T 1907 (Grammaticae Romanae Fragmenta),yes-Google has scanned,,,none,none,406.3,none,yes,,,
http://errol.oclc.org/laf/nr95-21123.html,nr95-21123,Alfius Avitus,Alfius Auitus ,none,Alfius Avitus,none,none,none,Carmina,AVIT. poet. 3. 2 ,none,none,Morel T 1927 (Fragmenta Poetarum Latinorum),no-not in public domain,"FPR, Baehrens (Teubner 1886)",yes,none,n.a.,1203.1,none,yes,,,
none,none,none,none,none,"Altercatio Hadr. et Epicteti
           ",none,none,none,"Altercatio Hadr. et Epicteti
           ",none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,1500.1,none,no,,"Only edition I found was one the PHI used-not in the public domain? -Altercatio Hadriani Augusti et Epicteti Philosophi, ed. L. W. Daly; W. Suchier, 1939",
http://errol.oclc.org/laf/n79-29712.html,n79-29712,"Ambrose, Saint, Bishop of Milan, d. 397",none,Ambrosius,none,none,Ambros.,none,De Excesu Fratris Suis Satyri Libri Duo,none,Ambros. de Excid. Fr. sui Sat / Ambros. Exc. Fratr.,none,none,n.a.,Schenkl; Migne 16 & 17,no,Migne (Patrologia Latina),no-need to obtain,none,stoa0022-stoa001,no,,,
http://errol.oclc.org/laf/n79-29712.html,n79-29712,"Ambrose, Saint, Bishop of Milan, d. 397",none,Ambrosius,none,none,Ambros.,none,De Fide Libri V ad Gratianum Augustum,none,Ambros. de Fide / Ambros. Fid. / Ambros. Fide,none,none,n.a.,Schenkl; Migne 16 & 17,no,Migne (Patrologia Latina),no-need to obtain,none,stoa0022-stoa002,no,,,
http://errol.oclc.org/laf/n79-29712.html,n79-29712,"Ambrose, Saint, Bishop of Milan, d. 397",none,Ambrosius,none,none,Ambros.,none,De Mysteriis,none,Ambros. de Myst.,none,none,n.a.,Schenkl; Migne 16 & 17,no,Migne (Patrologia Latina),no-need to obtain,none,stoa0022-stoa003,no,,,
http://errol.oclc.org/laf/n79-29712.html,n79-29712,"Ambrose, Saint, Bishop of Milan, d. 397",none,Ambrosius,none,none,Ambros.,none,De Officiis Ministrorum,none,Ambros. Off. / Ambros. de. Off / Ambros. Off. Ministr.,none,none,n.a.,Schenkl; Migne 16 & 17,no,Migne (Patrologia Latina),no-need to obtain,none,stoa0022-stoa004,no,,,
http://errol.oclc.org/laf/n79-29712.html,n79-29712,"Ambrose, Saint, Bishop of Milan, d. 397",none,Ambrosius,none,none,Ambros.,none,De Poenitentia,none,Ambros. de Poenit. / Ambros. Poenit. / Ambros. de Poen. / Ambros. Poen.,none,none,n.a.,Schenkl; Migne 16 & 17,no,Migne (Patrologia Latina),no-need to obtain,none,stoa0022-stoa005,no,,,
http://errol.oclc.org/laf/n79-29712.html,n79-29712,"Ambrose, Saint, Bishop of Milan, d. 397",none,Ambrosius,none,none,Ambros.,none,De Spiritu Sancto,none,Ambros. Spirit. Sanc. / Ambros. de Spir. Sanc. / Ambros. Spir.,none,none,n.a.,Schenkl; Migne 16 & 17,no,Migne (Patrologia Latina),no-need to obtain,none,stoa0022-stoa006,no,,,
